,Total,Rd2,S16,E8,FF,C,W
brackets2018\formula2_2018_68.csv,520,280,120,40,80,0,0
brackets2018\formula2_2018_69.csv,580,260,200,120,0,0,0
brackets2018\formula2_2018_70.csv,490,250,160,80,0,0,0
brackets2018\formula2_2018_71.csv,430,230,120,80,0,0,0
brackets2018\formula2_2018_72.csv,740,260,160,80,80,160,0
brackets2018\formula2_2018_73.csv,670,250,180,160,80,0,0
brackets2018\formula2_2018_74.csv,1220,260,160,160,160,160,320
brackets2018\formula2_2018_75.csv,590,230,160,120,80,0,0
brackets2018\formula2_2018_76.csv,1150,250,140,120,160,160,320
brackets2018\formula2_2018_77.csv,590,250,180,160,0,0,0
brackets2018\formula2_2018_78.csv,650,250,160,80,160,0,0
brackets2018\formula2_2018_79.csv,520,260,100,80,80,0,0
brackets2018\formula2_2018_80.csv,600,260,180,80,80,0,0
brackets2018\formula2_2018_81.csv,440,260,140,40,0,0,0
brackets2018\formula2_2018_82.csv,640,220,180,240,0,0,0
brackets2018\formula2_2018_83.csv,540,240,140,80,80,0,0
brackets2018\formula2_2018_84.csv,940,240,100,40,80,160,320
brackets2018\formula2_2018_85.csv,610,250,160,120,80,0,0
brackets2018\formula2_2018_86.csv,450,290,80,80,0,0,0
brackets2018\formula2_2018_87.csv,640,260,220,80,80,0,0
brackets2018\formula2_2018_88.csv,950,230,80,80,80,160,320
brackets2018\formula2_2018_89.csv,940,260,200,160,160,160,0
brackets2018\formula2_2018_90.csv,500,260,160,80,0,0,0
brackets2018\formula2_2018_91.csv,720,280,80,120,80,160,0
brackets2018\formula2_2018_92.csv,950,250,220,160,160,160,0
brackets2018\formula2_2018_93.csv,980,280,180,200,160,160,0
brackets2018\formula2_2018_94.csv,550,250,220,80,0,0,0
brackets2018\formula2_2018_95.csv,650,250,80,80,80,160,0
brackets2018\formula2_2018_96.csv,1280,240,160,80,160,320,320
brackets2018\formula2_2018_97.csv,980,260,120,120,160,320,0
brackets2018\formula2_2018_98.csv,1230,270,240,160,80,160,320
brackets2018\formula2_2018_99.csv,860,260,160,120,160,160,0
brackets2018\formula2_2018_100.csv,730,250,160,80,80,160,0
brackets2018\formula3_2018_1.csv,570,230,180,80,80,0,0
brackets2018\formula3_2018_2.csv,830,270,160,160,80,160,0
brackets2018\formula3_2018_3.csv,700,220,160,160,160,0,0
brackets2018\formula3_2018_4.csv,860,220,160,160,160,160,0
brackets2018\formula3_2018_5.csv,650,270,220,160,0,0,0
brackets2018\formula3_2018_6.csv,770,290,200,120,160,0,0
brackets2018\formula3_2018_7.csv,590,230,200,160,0,0,0
brackets2018\formula3_2018_8.csv,580,280,180,120,0,0,0
brackets2018\formula3_2018_9.csv,1330,230,140,160,160,320,320
brackets2018\formula3_2018_10.csv,1210,250,200,120,160,160,320
brackets2018\formula3_2018_11.csv,530,270,140,120,0,0,0
brackets2018\formula3_2018_12.csv,650,250,200,120,80,0,0
brackets2018\formula3_2018_13.csv,1110,270,160,120,80,160,320
brackets2018\formula3_2018_14.csv,550,270,120,80,80,0,0
brackets2018\formula3_2018_15.csv,540,280,180,80,0,0,0
brackets2018\formula3_2018_16.csv,1110,290,140,120,80,160,320
brackets2018\formula3_2018_17.csv,770,250,160,120,240,0,0
brackets2018\formula3_2018_18.csv,1360,260,180,120,160,320,320
brackets2018\formula3_2018_19.csv,1170,250,200,160,80,160,320
brackets2018\formula3_2018_20.csv,620,260,240,40,80,0,0
brackets2018\formula3_2018_21.csv,640,260,180,120,80,0,0
brackets2018\formula3_2018_22.csv,850,270,220,120,240,0,0
brackets2018\formula3_2018_23.csv,790,290,220,40,80,160,0
brackets2018\formula3_2018_24.csv,930,270,140,200,160,160,0
brackets2018\formula3_2018_25.csv,730,250,200,120,160,0,0
brackets2018\formula3_2018_26.csv,870,230,200,120,160,160,0
brackets2018\formula3_2018_27.csv,860,260,200,160,80,160,0
brackets2018\formula3_2018_28.csv,670,250,220,120,80,0,0
brackets2018\formula3_2018_29.csv,450,250,160,40,0,0,0
brackets2018\formula3_2018_30.csv,700,240,220,160,80,0,0
brackets2018\formula3_2018_31.csv,520,260,140,40,80,0,0
brackets2018\formula3_2018_32.csv,1090,210,200,120,80,160,320
brackets2018\formula3_2018_33.csv,710,230,200,200,80,0,0
brackets2018\formula3_2018_34.csv,750,270,160,160,160,0,0
brackets2018\formula3_2018_35.csv,680,280,160,160,80,0,0
brackets2018\formula3_2018_36.csv,650,250,160,160,80,0,0
brackets2018\formula3_2018_37.csv,590,230,160,120,80,0,0
brackets2018\formula3_2018_38.csv,400,280,120,0,0,0,0
brackets2018\formula3_2018_39.csv,690,250,200,160,80,0,0
brackets2018\formula3_2018_40.csv,660,240,220,120,80,0,0
brackets2018\formula3_2018_41.csv,920,220,180,200,160,160,0
brackets2018\formula3_2018_42.csv,550,210,180,160,0,0,0
brackets2018\formula3_2018_43.csv,530,250,200,80,0,0,0
brackets2018\formula3_2018_44.csv,490,250,200,40,0,0,0
brackets2018\formula3_2018_45.csv,730,230,180,80,80,160,0
brackets2018\formula3_2018_46.csv,690,250,120,80,80,160,0
brackets2018\formula3_2018_47.csv,1200,260,180,120,160,160,320
brackets2018\formula3_2018_48.csv,540,240,140,80,80,0,0
brackets2018\formula3_2018_49.csv,840,240,160,120,160,160,0
brackets2018\formula3_2018_50.csv,680,260,220,120,80,0,0
brackets2018\formula3_2018_51.csv,830,250,220,120,80,160,0
brackets2018\formula3_2018_52.csv,490,250,160,80,0,0,0
brackets2018\formula3_2018_53.csv,790,270,200,160,160,0,0
brackets2018\formula3_2018_54.csv,620,260,200,80,80,0,0
brackets2018\formula3_2018_55.csv,520,280,200,40,0,0,0
brackets2018\formula3_2018_56.csv,1210,270,140,240,240,320,0
brackets2018\formula3_2018_57.csv,920,280,200,120,160,160,0
brackets2018\formula3_2018_58.csv,460,260,160,40,0,0,0
brackets2018\formula3_2018_59.csv,1070,270,160,80,80,160,320
brackets2018\formula3_2018_60.csv,1170,270,220,120,80,160,320
brackets2018\formula3_2018_61.csv,720,260,180,120,160,0,0
brackets2018\formula3_2018_62.csv,1090,250,200,80,80,160,320
brackets2018\formula3_2018_63.csv,900,280,180,120,160,160,0
brackets2018\formula3_2018_64.csv,1030,250,180,120,160,320,0
brackets2018\formula3_2018_65.csv,430,250,140,40,0,0,0
brackets2018\formula3_2018_66.csv,650,230,140,40,80,160,0
brackets2018\formula3_2018_67.csv,990,210,180,120,160,320,0
brackets2018\formula3_2018_68.csv,490,250,160,80,0,0,0
brackets2018\formula3_2018_69.csv,1210,270,180,200,80,160,320
brackets2018\formula3_2018_70.csv,880,240,160,160,160,160,0
brackets2018\formula3_2018_71.csv,510,230,160,120,0,0,0
brackets2018\formula3_2018_72.csv,790,250,180,120,80,160,0
brackets2018\formula3_2018_73.csv,560,240,160,80,80,0,0
