team,conf,yusag_coeff,rpi,sor,wab,qual_bonus,yusag_rank,rpi_rank,sor_rank,resume_rank,wab_rank,blend,avg,odds,blended,rpiavg,rpisor
Maryland,Big 10,15.30807711,0.6015,-1.67948,4.740666667,98,22,22,22,22,20,21.75,21.6,98.71,0.045977011,0.027847222,0.026152174
Wofford,Southern,15.16055074,0.6167,-0.1964,3.764,82,25,14,16,26,26,22,21.4,98.66,0.045454545,0.028817757,0.036276471
Mississippi State,SEC,15.63826205,0.6004,-2.31236,4.555111111,109,21,25,27,21,21,22.8,23,98.5,0.043859649,0.026104348,0.021442857
Iowa State,Big 12,16.98618512,0.5951,-3.28832,3.921333333,130,17,31,37,19,23,24.5,25.4,98.11,0.040816327,0.023429134,0.015660526
Cincinnati,AAC,12.7578597,0.6124,-1.73016,3.884333333,84.2,35,16,23,25,25,25.25,24.8,97.91,0.03960396,0.024693548,0.025516667
Nevada,MWC,15.27795334,0.6037,-1.12968,3.291333333,61,23,21,20,31,29,25.45,24.8,97.85,0.039292731,0.024342742,0.028747619
Marquette,Big East,14.70250335,0.5913,-3.13032,3.405555556,131,27,32,36,18,28,26.75,28.2,97.44,0.037383178,0.020968085,0.015981081
Louisville,ACC,17.13203562,0.5851,-2.95848,3.542888889,34,15,34,34,36,27,29.975,29.2,96.04,0.033361134,0.020037671,0.016717143
Washington,Pac 12,10.21367177,0.5998,-2.77688,2.637777778,73,53,26,32,29,31,34.2,34.2,93.09,0.029239766,0.017538012,0.018175758
Iowa,Big 10,12.57282342,0.5596,-2.77056,3.919333333,74,37,61,31,28,24,34.85,36.2,92.49,0.028694405,0.015458564,0.0174875
Oklahoma,Big 12,12.79121275,0.5677,-5.14032,2.280222222,37,34,50,50,34,33,39.475,40.2,86.61,0.025332489,0.014121891,0.011131373
UCF,AAC,11.31971726,0.5954,-4.04316,0.808888889,27,47,30,41,39,42,40.025,39.8,85.7,0.024984385,0.014959799,0.01417619
Utah State,MWC,11.70139986,0.5958,-2.5328,1.682888889,61,45,28,29,32,34,33.65,33.6,80.29,0.029717682,0.017732143,0.01986
Minnesota,Big 10,11.30858733,0.5744,-3.91648,3.221222222,4,48,44,40,46,30,42.9,41.6,80.07,0.023310023,0.013807692,0.014009756
Seton Hall,Big East,10.1908613,0.5684,-6.2936,0.669222222,79,54,49,65,27,44,45.425,47.8,73.87,0.022014309,0.011891213,0.008612121
Syracuse,ACC,13.20844975,0.5729,-4.65252,1.433222222,-16,32,45,47,58,37,46.025,43.8,72.22,0.021727322,0.013079909,0.011935417
Temple,AAC,7.569348478,0.5754,-4.63384,0.460222222,41,73,42,46,33,47,46.7,48.2,70.3,0.021413276,0.011937759,0.012242553
Ole Miss,SEC,12.13099049,0.5536,-5.47024,0.937666667,20,40,68,54,42,40,47.65,48.8,67.47,0.020986359,0.011344262,0.010065455
VCU,A-10,12.17522906,0.6012,-3.62508,0.328777778,9,38,23,38,44,50,39.2,38.6,65.3,0.025510204,0.01557513,0.015415385
New Mexico State,WAC,10.49463929,0.5824,-1.98868,0.941333333,8,50,36,24,45,39,39.7,38.8,63.71,0.025188917,0.015010309,0.023296
Baylor,Big 12,12.15267267,0.5624,-5.8768,0.583,-4,39,55,59,49,46,49.525,49.6,61.5,0.020191822,0.01133871,0.009373333
Arizona State,Pac 12,8.602079758,0.5712,-5.74668,-0.267111111,0,62,46,57,47,55,52.85,53.4,50.14,0.018921476,0.010696629,0.009848276
St. John's,Big East,7.290285718,0.5589,-6.13048,-0.249222222,63,76,63,63,30,54,53.75,57.2,47.02,0.018604651,0.009770979,0.008732813
